"","Court","PendStart","New","Reopen","Closed","PendatEnd","Pending0.6","Pending6plus","PendingInact.BW","JuryTrials","NonJuryTrials","Convict","Acquit","PleaTrial","DismTrial","DismBrief","PleaBef","DismbyPros","PostJActiv","Other","court.type","Year"
"21","Petition for Review of Bond/Conditions of Release","0","2","0","1","1","0",1,0,0,0,0,0,0,0,0,0,1,0,"0","First District Court",2015
"22","Total","2292","1289","1273","2497","2355","731",915,709,13,6,8,2,5,4,170,851,749,1215,"5","First District Court",2015
"23","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First District Court",2015
"24","Juvenile Public Safety Offenses","2","9","13","22","2","1",1,0,0,0,0,0,0,0,0,8,10,12,"0","First District Court",2015
"25","Juvenile Crimes Against Property","37","60","81","143","35","20",11,4,0,0,0,0,0,0,0,39,48,84,"0","First District Court",2015
"26","Juvenile Crimes Against Persons","35","81","74","144","46","26",13,7,0,0,0,0,0,0,7,45,53,70,"0","First District Court",2015
"27","Juvenile Delinquent Felony","5","5","3","6","7","2",1,4,0,0,0,0,0,0,0,1,3,2,"0","First District Court",2015
"28","Juvenile Delinquent Non‐Felony","1","8","6","12","3","1",2,0,0,0,0,0,0,0,0,4,4,5,"0","First District Court",2015
"29","Juvenile Drug Offenses","13","44","30","60","27","17",7,3,0,0,0,0,0,0,1,25,27,26,"0","First District Court",2015
"30","Juvenile DWI Offenses","5","11","2","8","10","5",5,0,0,0,0,0,0,0,0,5,5,2,"0","First District Court",2015
"31","Juvenile Homicide","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"32","Juvenile Motor Vehicle Offenses","0","5","8","11","2","2",0,0,0,0,0,0,0,0,0,1,3,8,"0","First District Court",2015
"33","Juvenile Sexual Offenses","6","2","3","5","6","2",2,2,0,0,0,0,0,0,0,2,1,2,"0","First District Court",2015
"34","Youthful Offender Crimes Against Persons","3","1","0","2","2","1",1,0,0,0,0,0,0,0,0,1,2,0,"0","First District Court",2015
"35","Youthful Offender Crimes Against Property","0","0","2","2","0","0",0,0,0,0,0,0,0,0,0,0,0,2,"0","First District Court",2015
"36","Youthful Offender Sexual Offenses","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2015
"37","Total","111","226","222","415","144","77",47,20,0,0,0,0,0,0,8,131,156,213,"0","First District Court",2015
"38","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second District Court",2015
"39","Domestic Violence Appeal ‐ Defendant Appellant","5","0","0","4","1","0",1,0,0,0,0,0,0,0,0,4,0,0,"0","Second District Court",2015
"40","Extradition","54","69","1","67","57","16",6,35,0,0,0,0,0,0,0,0,67,0,"0","Second District Court",2015
"41","Felony Crimes Against Property","3729","1515","1813","4387","2663","557",654,1452,40,0,11,8,8,13,623,1306,1710,1827,"0","Second District Court",2015
"42","Felony Crimes Against Persons","2265","925","1139","2789","1546","435",565,546,43,0,12,13,11,7,390,851,1244,1154,"0","Second District Court",2015
"43","Felony Drug Offenses","2747","1012","1196","3168","1787","304",402,1081,44,0,13,7,11,13,467,918,1414,1202,"0","Second District Court",2015
"44","Felony DWI/DUI","472","155","109","417","318","38",135,145,8,1,3,2,2,2,7,263,245,113,"0","Second District Court",2015
"45","Felony Homicide","60","47","15","46","76","24",40,12,6,0,4,1,1,0,0,20,23,15,"0","Second District Court",2015
"46","Felony Miscellaneous","146","46","47","138","100","18",28,54,0,0,0,0,0,0,18,52,50,41,"0","Second District Court",2015
"47","Felony Public Safety Offenses","353","299","200","564","285","106",78,101,4,0,2,1,0,1,79,238,225,188,"0","Second District Court",2015
"48","Felony Sexual Offenses","423","107","101","286","350","76",189,85,25,0,6,6,4,9,38,77,134,94,"0","Second District Court",2015
"49","Felony First Degree","37","0","22","21","38","8",23,7,2,0,1,0,1,0,0,2,1,17,"0","Second District Court",2015
"50","Felony Domestic Violence","409","237","182","549","278","95",86,97,9,0,2,3,0,4,87,154,295,165,"0","Second District Court",2015
"51","Lower Court Appeal","3","0","0","1","2","1",1,0,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2015
"52","Felony Vehicular Homicide","5","1","3","3","6","1",3,2,1,0,1,0,0,0,0,1,1,1,"0","Second District Court",2015
"53","Lower Court Appeal ‐ Defendant Appellant","38","10","0","29","19","4",15,0,0,3,0,0,2,0,4,19,3,0,"0","Second District Court",2015
"54","Lower Court Appeal ‐ Plaintiff Appellant","1","1","0","2","0","0",0,0,0,0,0,0,0,0,1,0,1,0,"0","Second District Court",2015
"55","Lower Court DWI/DUI Appeals","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2015
"56","Lower Court DWI Appeal ‐ Defendant Appellant","91","40","0","89","42","17",25,0,0,0,0,0,0,0,5,82,0,0,"0","Second District Court",2015
"57","Lower Court DWI Appeal ‐ Plaintiff Appellant","3","5","0","4","4","3",1,0,0,0,0,0,0,0,0,4,0,0,"0","Second District Court",2015
"58","Misdemeanor (Dist.)","123","306","194","485","141","74",23,44,0,0,0,0,0,0,14,237,44,194,"0","Second District Court",2015
"59","Misdemeanor DWI/DUI","7","23","7","26","11","7",2,2,0,0,0,0,0,0,0,19,4,5,"0","Second District Court",2015
"60","Total","10972","4798","5029","13075","7725","1784",2278,3663,182,4,55,41,40,49,1733,4247,5461,5016,"0","Second District Court",2015
"61","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second District Court",2015
"62","Juvenile Public Safety Offenses","123","111","28","195","65","34",24,7,0,0,0,0,0,0,72,52,68,38,"0","Second District Court",2015
"63","Juvenile Crimes Against Property","239","382","161","551","231","110",58,63,0,4,0,0,1,3,88,181,267,151,"0","Second District Court",2015
"64","Juvenile Crimes Against Persons","239","420","103","478","287","163",78,46,0,4,0,0,1,3,110,147,243,95,"0","Second District Court",2015
"65","Juvenile Drug Offenses","77","113","27","157","60","30",20,10,0,1,0,0,0,1,36,42,80,31,"0","Second District Court",2015
"66","Juvenile DWI Offenses","6","14","3","18","5","1",0,4,0,0,0,0,0,0,1,14,13,3,"0","Second District Court",2015
"67","Juvenile Graffiti Offenses","2","2","2","4","2","2",0,0,0,0,0,0,0,0,0,0,2,2,"0","Second District Court",2015
"68","Juvenile Motor Vehicle Offenses","7","16","0","13","10","5",2,3,0,0,0,0,0,0,1,7,9,3,"0","Second District Court",2015
"69","Juvenile Sexual Offenses","21","34","6","49","13","8",3,2,0,0,0,0,0,0,4,28,30,9,"0","Second District Court",2015
"70","Youthful Offender Crimes Against Persons","11","10","1","16","6","1",3,2,0,0,0,0,0,0,0,12,12,4,"0","Second District Court",2015
"71","Youthful Offender Crimes Against Property","4","0","2","4","2","1",0,1,0,0,0,0,0,0,0,3,3,1,"0","Second District Court",2015
"72","Youthful Offender Public Safety Offenses","1","2","1","3","1","0",0,1,0,0,0,0,0,0,0,2,2,1,"0","Second District Court",2015
"73","Youthful Offender Homicide","1","0","0","0","1","0",0,1,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2015
"74","Youthful Offender Sexual Offenses","4","2","0","3","3","2",0,1,0,0,0,0,0,0,2,1,1,0,"0","Second District Court",2015
"75","Total","735","1106","334","1491","686","357",188,141,0,9,0,0,2,7,314,489,730,338,"0","Second District Court",2015
"76","CRIMINAL","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third District Court",2015
"77","Adult Motor Vehicle Offenses","3","0","0","0","3","0",0,3,0,0,0,0,0,0,0,0,0,0,"0","Third District Court",2015
"78","Domestic Violence Appeal","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","Third District Court",2015
"79","Extradition","9","19","0","24","5","1",4,0,0,0,0,0,0,0,2,1,5,0,"16","Third District Court",2015
"80","Felony Crimes Against Property","542","312","301","615","550","182",164,204,10,0,3,2,3,2,30,204,167,287,"1","Third District Court",2015
"81","Felony Crimes Against Persons","642","398","321","735","633","243",223,167,18,0,8,5,2,3,29,268,226,322,"0","Third District Court",2015
"82","Felony Drug Offenses","469","245","258","491","485","171",124,190,5,0,5,0,0,0,18,159,159,257,"0","Third District Court",2015
"83","Felony DWI/DUI","124","67","64","133","124","48",27,49,3,0,2,0,0,1,0,64,58,54,"0","Third District Court",2015
"84","Felony Homicide","22","8","9","9","30","8",16,6,2,0,2,0,0,0,0,2,2,4,"0","Third District Court",2015
"85","Felony Miscellaneous","65","43","17","62","63","23",17,23,1,0,1,0,0,0,4,29,23,16,"0","Third District Court",2015
"86","Felony Public Safety Offenses","21","17","6","24","20","8",7,5,0,0,0,0,0,0,0,10,8,9,"0","Third District Court",2015
"87","Felony Sexual Offenses","121","52","34","82","127","37",56,34,4,0,1,2,1,0,1,30,34,32,"0","Third District Court",2015
"88","Felony First Degree","4","0","2","3","3","1",0,2,0,0,0,0,0,0,0,1,1,2,"0","Third District Court",2015
"89","Felony Domestic Violence","28","12","12","32","20","10",6,4,1,0,1,0,0,0,1,16,18,10,"0","Third District Court",2015
"90","Felony Vehicular Homicide","2","1","1","2","2","0",1,1,0,0,0,0,0,0,0,1,1,1,"0","Third District Court",2015
"91","Lower Court Appeal","3","0","0","0","3","0",2,1,0,0,0,0,0,0,0,0,0,0,"0","Third District Court",2015
"92","Lower Court Appeal ‐ Defendant Appellant","16","25","0","23","18","15",3,0,0,4,3,0,1,0,2,13,5,0,"0","Third District Court",2015
"93","Lower Court DWI Appeal ‐ Defendant Appellant","12","9","1","11","11","6",5,0,0,2,1,0,0,1,0,7,4,1,"0","Third District Court",2015
"94","Misdemeanor (Dist.)","6","8","0","6","8","6",1,1,0,0,0,0,0,0,2,2,3,1,"0","Third District Court",2015
"95","Misdemeanor DWI/DUI","28","10","13","24","27","10",0,17,0,0,0,0,0,0,1,4,6,15,"0","Third District Court",2015
"96","Total","2119","1226","1039","2276","2134","769",658,707,44,6,27,9,7,7,90,811,720,1011,"17","Third District Court",2015
"97","JUVENILE","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third District Court",2015
"98","Juvenile Public Safety Offenses","6","18","3","20","7","5",2,0,0,0,0,0,0,0,1,7,9,4,"0","Third District Court",2015
"99","Juvenile Crimes Against Property","58","72","42","116","54","38",3,13,0,0,0,0,0,0,5,41,36,48,"1","Third District Court",2015
"100","Juvenile Crimes Against Persons","59","108","42","163","46","27",6,13,1,0,1,0,0,0,8,65,68,45,"0","Third District Court",2015
"101","Juvenile Delinquent Felony","6","11","2","16","3","3",0,0,0,0,0,0,0,0,0,11,7,1,"1","Third District Court",2015
"102","Juvenile Delinquent Non‐Felony","5","28","3","25","11","7",0,4,0,0,0,0,0,0,0,9,14,4,"0","Third District Court",2015
"103","Juvenile Drug Offenses","31","47","20","77","21","17",2,2,0,0,0,0,0,0,2,24,33,24,"0","Third District Court",2015
"104","Juvenile DWI Offenses","5","10","1","11","5","4",0,1,0,0,0,0,0,0,0,7,9,1,"0","Third District Court",2015
"105","Juvenile Graffiti Offenses","0","1","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Third District Court",2015
"106","Juvenile Homicide","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,"1","Third District Court",2015
"107","Juvenile Motor Vehicle Offenses","0","7","0","4","3","3",0,0,0,0,0,0,0,0,0,0,4,0,"0","Third District Court",2015
"108","Juvenile Sexual Offenses","19","14","4","24","13","8",1,4,0,0,0,0,0,0,1,12,14,3,"1","Third District Court",2015
"109","Youthful Offender Crimes Against Persons","5","2","4","5","6","3",3,0,0,0,0,0,0,0,0,1,2,3,"0","Third District Court",2015
"110","Youthful Offender Crimes Against Property","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,1,0,"0","Third District Court",2015
"111","Youthful Offender Homicide","0","1","1","0","2","2",0,0,0,0,0,0,0,0,0,0,0,0,"0","Third District Court",2015
"112","Youthful Offender Sexual Offenses","2","1","1","1","3","2",1,0,0,0,0,0,0,0,0,1,1,0,"0","Third District Court",2015
"113","Total","197","321","123","464","175","120",18,37,1,0,1,0,0,0,17,179,198,133,"4","Third District Court",2015
"114","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fourth District Court",2015
"115","Adult Motor Vehicle Offenses","0","2","0","1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,"0","Fourth District Court",2015
"116","Felony Crimes Against Property","58","74","37","104","65","47",9,9,1,0,1,0,0,0,18,26,46,43,"0","Fourth District Court",2015
"117","Felony Crimes Against Persons","74","93","59","148","80","54",13,13,2,1,0,1,0,2,26,52,56,64,"0","Fourth District Court",2015
"118","Felony Drug Offenses","68","74","55","116","82","48",17,17,1,0,1,0,0,0,30,23,42,54,"0","Fourth District Court",2015
"119","Felony DWI/DUI","23","27","13","37","26","14",8,4,0,0,0,0,0,0,0,23,25,12,"0","Fourth District Court",2015
"120","Felony Homicide","7","2","2","4","7","3",4,0,1,0,1,0,0,0,0,1,0,2,"0","Fourth District Court",2015
"121","Felony Miscellaneous","6","3","1","6","4","2",1,1,0,0,0,0,0,0,0,3,4,0,"0","Fourth District Court",2015
"122","Felony Public Safety Offenses","26","17","27","45","25","19",2,4,0,0,0,0,0,0,3,16,17,25,"0","Fourth District Court",2015
"123","Felony Sexual Offenses","6","12","8","12","14","3",10,1,1,0,1,0,0,0,2,2,2,7,"0","Fourth District Court",2015
"124","Felony First Degree","1","0","1","0","2","1",1,0,0,0,0,0,0,0,0,0,0,0,"0","Fourth District Court",2015
"125","Felony Vehicular Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Fourth District Court",2015
"126","Lower Court Appeal ‐ Defendant Appellant","4","2","0","3","3","2",1,0,0,0,0,0,0,0,2,1,0,0,"0","Fourth District Court",2015
"127","Lower Court DWI Appeal ‐ Defendant Appellant","2","2","1","3","2","1",1,0,0,0,0,0,0,0,0,3,0,0,"0","Fourth District Court",2015
"128","Total","276","308","204","480","311","195",67,49,6,1,4,1,0,2,82,150,192,208,"0","Fourth District Court",2015
"129","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fourth District Court",2015
"130","Juvenile Public Safety Offenses","1","7","4","11","1","1",0,0,0,0,0,0,0,0,0,6,3,3,"0","Fourth District Court",2015
"131","Juvenile Crimes Against Property","3","20","12","28","7","5",1,1,0,0,0,0,0,0,0,14,10,11,"0","Fourth District Court",2015
"132","Juvenile Crimes Against Persons","7","14","9","23","6","5",1,0,0,0,0,0,0,0,0,10,3,11,"0","Fourth District Court",2015
"133","Juvenile Delinquent Felony","0","1","1","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Fourth District Court",2015
"134","Juvenile Drug Offenses","1","7","3","8","3","3",0,0,0,0,0,0,0,0,0,4,0,4,"0","Fourth District Court",2015
"135","Juvenile DWI Offenses","0","2","0","1","1","1",0,0,0,0,0,0,0,0,0,1,1,0,"0","Fourth District Court",2015
"136","Juvenile Motor Vehicle Offenses","0","4","0","4","0","0",0,0,0,0,0,0,0,0,0,3,1,0,"0","Fourth District Court",2015
"137","Juvenile Sexual Offenses","1","1","1","3","0","0",0,0,0,0,0,0,0,0,0,2,2,1,"0","Fourth District Court",2015
"138","Youthful Offender Crimes Against Persons","1","0","1","2","0","0",0,0,0,0,0,0,0,0,0,1,1,1,"0","Fourth District Court",2015
"139","Total","14","56","31","81","18","15",2,1,0,0,0,0,0,0,0,42,21,31,"0","Fourth District Court",2015
"140","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fifth District Court",2015
"141","Adult Motor Vehicle Offenses","13","3","9","16","9","2",4,3,1,1,2,0,0,0,0,3,1,10,"0","Fifth District Court",2015
"142","Extradition","4","5","0","8","1","1",0,0,0,0,0,0,0,0,4,0,0,0,"3","Fifth District Court",2015
"143","Felony Crimes Against Property","624","564","384","948","631","369",134,128,40,2,17,6,5,14,41,387,155,389,"0","Fifth District Court",2015
"144","Felony Crimes Against Persons","392","372","227","575","418","239",117,62,32,2,18,9,5,2,26,224,137,224,"0","Fifth District Court",2015
"145","Felony Drug Offenses","526","591","328","905","543","325",134,84,17,3,9,3,5,3,61,430,224,322,"0","Fifth District Court",2015
"146","Felony DWI/DUI","71","65","22","80","78","32",27,19,6,2,6,2,0,0,3,45,23,21,"0","Fifth District Court",2015
"147","Felony Homicide","41","12","7","29","31","8",23,0,6,0,3,3,0,0,1,10,5,11,"0","Fifth District Court",2015
"148","Felony Miscellaneous","15","9","10","17","17","11",2,4,1,0,1,0,0,0,0,6,1,9,"0","Fifth District Court",2015
"149","Felony Public Safety Offenses","98","108","42","155","94","60",19,15,9,2,5,2,3,1,4,87,34,39,"0","Fifth District Court",2015
"150","Felony Sexual Offenses","81","67","24","89","85","36",43,6,13,1,5,6,2,0,4,37,25,22,"0","Fifth District Court",2015
"151","Felony First Degree","1","0","2","2","1","1",0,0,0,0,0,0,0,0,0,0,0,2,"0","Fifth District Court",2015
"152","Felony Domestic Violence","27","17","12","39","17","9",4,4,3,0,1,1,0,1,1,16,11,11,"0","Fifth District Court",2015
"153","Felony Vehicular Homicide","2","1","1","3","1","0",1,0,2,0,2,0,0,0,0,0,0,1,"0","Fifth District Court",2015
"154","Lower Court Appeal ‐ Defendant Appellant","40","69","1","70","40","33",7,0,1,4,2,1,1,0,7,49,5,2,"0","Fifth District Court",2015
"155","Lower Court Appeal ‐ Plaintiff Appellant","1","1","0","1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,"0","Fifth District Court",2015
"156","Lower Court DWI Appeal ‐ Defendant Appellant","18","30","1","29","20","13",6,1,2,10,6,2,1,1,1,12,2,1,"0","Fifth District Court",2015
"157","Lower Court DWI Appeal ‐ Plaintiff Appellant","2","2","0","2","2","0",1,1,0,0,0,0,0,0,1,1,0,0,"0","Fifth District Court",2015
"158","Misdemeanor (Dist.)","17","20","6","19","24","15",4,5,0,2,1,0,1,0,0,7,8,3,"0","Fifth District Court",2015
"159","Misdemeanor DWI/DUI","43","74","8","58","67","40",11,16,1,6,4,1,2,0,1,38,22,5,"0","Fifth District Court",2015
"160","Total","2016","2010","1084","3045","2080","1195",537,348,134,35,82,36,25,22,156,1352,653,1072,"3","Fifth District Court",2015
"161","JUVELINE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fifth District Court",2015
"162","Juvenile Public Safety Offenses","34","53","10","78","20","14",5,1,0,0,0,0,0,0,11,40,17,14,"0","Fifth District Court",2015
"163","Juvenile Crimes Against Property","77","127","44","201","49","31",9,9,0,4,0,1,1,2,26,90,35,59,"0","Fifth District Court",2015
"164","Juvenile Crimes Against Persons","60","98","21","139","40","29",7,4,0,1,1,0,0,0,23,69,22,28,"1","Fifth District Court",2015
"165","Juvenile Delinquent Felony","16","16","4","29","7","5",2,0,0,0,0,0,0,0,2,20,1,7,"0","Fifth District Court",2015
"166","Juvenile Delinquent Non‐Felony","33","111","25","124","45","33",5,7,0,2,0,0,0,2,3,87,13,21,"0","Fifth District Court",2015
"167","Juvenile Drug Offenses","23","75","21","95","24","17",3,4,1,1,1,1,0,0,7,48,20,21,"0","Fifth District Court",2015
"168","Juvenile DWI Offenses","4","3","0","6","1","0",1,0,0,0,0,0,0,0,0,6,1,0,"0","Fifth District Court",2015
"169","Juvenile Truancy","11","33","0","36","8","8",0,0,0,10,0,0,7,3,0,13,13,0,"0","Fifth District Court",2015
"170","Juvenile Homicide","1","1","0","2","0","0",0,0,0,0,0,0,0,0,0,0,0,0,"2","Fifth District Court",2015
"171","Juvenile Motor Vehicle Offenses","10","15","0","17","8","5",3,0,1,0,1,0,0,0,7,7,0,1,"0","Fifth District Court",2015
"172","Juvenile Sexual Offenses","8","12","2","16","7","4",3,0,1,0,1,0,0,0,0,6,6,2,"1","Fifth District Court",2015
"173","Youthful Offender Crimes Against Persons","2","1","2","4","1","0",1,0,0,0,0,0,0,0,0,2,0,2,"0","Fifth District Court",2015
"174","Youthful Offender Crimes Against Property","3","3","0","5","1","1",0,0,0,0,0,0,0,0,0,4,1,0,"0","Fifth District Court",2015
"175","Youthful Offender Homicide","2","1","2","2","3","1",2,0,1,0,1,0,0,0,0,0,0,1,"0","Fifth District Court",2015
"176","Youthful Offender Sexual Offenses","1","1","0","1","1","1",0,0,0,0,0,0,0,0,0,1,0,0,"0","Fifth District Court",2015
"177","Total","285","550","131","755","215","149",41,25,4,18,5,2,8,7,79,393,129,156,"4","Fifth District Court",2015
"178","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sixth District Court",2015
"179","Extradition","0","2","0","2","0","0",0,0,0,0,0,0,0,0,0,0,0,0,"2","Sixth District Court",2015
"180","Felony Crimes Against Property","126","112","97","220","116","56",16,44,11,0,4,3,4,0,21,82,51,93,"0","Sixth District Court",2015
"181","Felony Crimes Against Persons","193","164","114","297","176","92",45,39,15,0,2,6,4,3,9,122,61,124,"0","Sixth District Court",2015
"182","Felony Drug Offenses","125","128","90","221","119","42",13,64,2,0,0,1,1,0,8,116,48,89,"0","Sixth District Court",2015
"183","Felony DWI/DUI","25","19","10","33","20","8",3,9,2,1,0,0,3,0,1,22,16,6,"0","Sixth District Court",2015
"184","Felony Homicide","4","3","2","5","4","2",2,0,0,0,0,0,0,0,0,4,2,1,"0","Sixth District Court",2015
"185","Felony Miscellaneous","20","11","6","25","13","4",1,8,1,0,0,0,1,0,0,15,6,4,"0","Sixth District Court",2015
"186","Felony Public Safety Offenses","19","32","10","41","20","12",5,3,2,0,1,1,0,0,4,19,19,10,"0","Sixth District Court",2015
"187","Felony Sexual Offenses","17","16","8","19","22","13",8,1,3,0,1,1,0,1,1,10,2,4,"0","Sixth District Court",2015
"188","Felony Domestic Violence","0","3","0","1","2","1",1,0,0,0,0,0,0,0,0,1,0,0,"0","Sixth District Court",2015
"189","Lower Court Appeal","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Sixth District Court",2015
"190","Lower Court Appeal ‐ Defendant Appellant","13","46","1","40","20","12",8,0,1,0,1,0,0,0,1,33,3,2,"0","Sixth District Court",2015
"191","Lower Court Appeal ‐ Plaintiff Appellant","0","1","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Sixth District Court",2015
"192","Lower Court DWI Appeal ‐ Defendant Appellant","1","8","0","4","5","5",0,0,0,0,0,0,0,0,1,3,0,0,"0","Sixth District Court",2015
"193","Misdemeanor (Dist.)","0","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Sixth District Court",2015
"194","Misdemeanor DWI/DUI","3","0","0","1","2","0",1,1,0,0,0,0,0,0,0,1,1,0,"0","Sixth District Court",2015
"195","Total","547","545","339","911","520","248",103,169,37,1,9,12,13,4,46,428,209,335,"2","Sixth District Court",2015
"196","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sixth District Court",2015
"197","Juvenile Public Safety Offenses","6","10","5","17","4","3",1,0,0,0,0,0,0,0,2,5,3,7,"0","Sixth District Court",2015
"198","Juvenile Crimes Against Property","8","31","15","46","8","4",3,1,0,0,0,0,0,0,0,25,8,15,"0","Sixth District Court",2015
"199","Juvenile Crimes Against Persons","16","38","10","53","12","9",2,1,1,3,0,0,2,2,0,27,10,14,"0","Sixth District Court",2015
"200","Juvenile Delinquent Felony","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Sixth District Court",2015
"201","Juvenile Delinquent Non‐Felony","1","2","5","8","0","0",0,0,0,0,0,0,0,0,0,1,1,6,"0","Sixth District Court",2015
"202","Juvenile Drug Offenses","9","29","11","43","6","5",0,1,0,2,0,0,2,0,0,23,8,11,"0","Sixth District Court",2015
"203","Juvenile DWI Offenses","0","6","0","4","2","2",0,0,0,0,0,0,0,0,0,3,1,0,"0","Sixth District Court",2015
"204","Juvenile Homicide","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Sixth District Court",2015
"205","Juvenile Motor Vehicle Offenses","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,1,0,"0","Sixth District Court",2015
"206","Juvenile Sexual Offenses","0","4","0","2","2","2",0,0,0,0,0,0,0,0,0,1,0,0,"1","Sixth District Court",2015
"207","Youthful Offender Crimes Against Persons","2","0","1","1","2","0",2,0,0,0,0,0,0,0,0,1,0,0,"0","Sixth District Court",2015
"208","Youthful Offender Homicide","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Sixth District Court",2015
"209","Youthful Offender Sexual Offenses","1","1","0","1","1","0",1,0,0,0,0,0,0,0,0,0,1,0,"0","Sixth District Court",2015
